,date,temperature_2m,relativehumidity_2m,dewpoint_2m,apparent_temperature,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,weathercode,pressure_msl,surface_pressure,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,visibility,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m
0,2025-11-01 00:00:00+00:00,7.939,75.0,3.7787316,5.2739267,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1014.7,1010.0265,100.0,0.0,100.0,100.0,42540.0,8.225035,23.241617,33.549606,39.254856,156.80139,163.81073,176.30869,191.10379,19.8,7.839,9.139,10.438999
1,2025-11-01 01:00:00+00:00,7.839,74.0,3.4914184,5.2353344,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1014.4,1009.7262,100.0,0.0,100.0,0.0,44660.0,7.42159,23.14103,32.19938,39.47708,157.1663,174.64427,190.3048,204.22774,18.359999,8.339,9.438999,10.339
2,2025-11-01 02:00:00+00:00,7.489,76.0,3.5313604,4.9613647,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1014.3,1009.62103,45.0,0.0,45.0,0.0,41580.0,6.9527545,23.084955,30.85307,36.869694,158.74942,176.42374,191.44101,206.0646,16.56,8.539,9.339,10.639
3,2025-11-01 03:00:00+00:00,6.639,81.0,3.6095526,4.243203,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1014.6,1009.90533,39.0,0.0,39.0,0.0,31240.0,6.151683,21.611998,29.144438,34.247337,159.44388,181.9091,197.98743,213.85715,15.119999,8.039,9.139,10.438999
4,2025-11-01 04:00:00+00:00,6.439,83.0,3.760724,4.189252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.4,1009.7029,0.0,0.0,0.0,0.0,27900.0,5.3517847,20.674158,28.551426,33.121956,160.34608,187.00117,203.0089,217.49272,13.679999,8.039,9.139,10.339
5,2025-11-01 05:00:00+00:00,6.139,87.0,4.1366286,4.0436153,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1014.4,1009.69806,13.0,0.0,0.0,13.0,20440.0,4.802999,19.839235,27.055143,30.699368,167.00539,191.5138,205.2011,219.2894,11.5199995,8.039,9.139,10.238999
6,2025-11-01 06:00:00+00:00,5.589,91.0,4.2354116,3.5497212,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1013.9,1009.1909,100.0,0.0,0.0,100.0,12100.0,4.5536795,19.211996,26.089447,28.79325,161.56496,192.99461,207.97939,222.46638,9.72,7.839,9.139,10.539
7,2025-11-01 07:00:00+00:00,5.989,91.0,4.6310644,3.9901724,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1013.9,1009.1979,63.0,2.0,0.0,61.0,10860.0,4.829907,20.188908,26.183659,27.971327,153.43501,183.06642,198.43504,211.84901,10.799999,8.139,9.438999,10.839
8,2025-11-01 08:00:00+00:00,7.489,86.0,5.2984037,5.396199,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1013.0,1008.327,91.0,0.0,0.0,91.0,16340.0,6.439876,21.26744,28.387545,31.235058,153.43501,177.08922,192.44998,205.97433,14.759999,8.438999,9.738999,11.339
9,2025-11-01 09:00:00+00:00,9.839,78.0,6.1834416,7.964238,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1013.2,1008.56464,74.0,0.0,0.0,74.0,31800.0,6.28713,18.486622,27.343414,33.190357,156.3706,173.29025,189.0902,204.34108,15.4800005,9.339,10.438999,12.238999
