,date,temperature_2m,relativehumidity_2m,dewpoint_2m,apparent_temperature,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,weathercode,pressure_msl,surface_pressure,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,visibility,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,windgusts_10m,temperature_80m,temperature_120m,temperature_180m
0,2025-10-22 00:00:00+00:00,10.8585005,83.0,8.08502,8.674943,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1000.2,995.6407,100.0,5.0,0.0,100.0,24140.0,11.542478,21.659918,24.401318,,183.57626,195.42223,198.43504,,30.599998,10.915,10.964999,
1,2025-10-22 01:00:00+00:00,10.6085005,86.0,8.3632555,8.498861,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1000.0,995.43756,100.0,0.0,63.0,100.0,24140.0,11.525623,22.180206,24.531002,,181.78987,193.13403,196.53491,,31.319998,10.565,10.615,
2,2025-10-22 02:00:00+00:00,10.5085,88.0,8.604417,8.461769,0.0,0.0,0.0,0.0,0.0,0.0,3.0,999.6,995.03784,100.0,0.0,55.0,100.0,24140.0,11.525623,21.542923,24.153835,,178.21013,189.61966,193.19061,,31.319998,10.415,10.464999,
3,2025-10-22 03:00:00+00:00,10.4585,90.0,8.887693,8.54015,0.0,0.0,0.0,0.0,0.0,0.0,3.0,999.5,994.9374,100.0,0.0,100.0,100.0,24140.0,11.159999,21.67487,24.332054,,180.0,191.49654,194.87573,,31.68,10.464999,10.514999,
4,2025-10-22 04:00:00+00:00,10.4585,91.0,9.051521,8.689139,0.0,0.0,0.0,0.0,0.0,0.0,3.0,999.4,994.8378,100.0,5.0,100.0,100.0,24140.0,10.440001,20.780453,23.476343,,180.0,194.03627,197.30061,,29.88,10.714999,10.815,
5,2025-10-22 05:00:00+00:00,10.6085005,91.0,9.199861,8.770961,0.0,0.0,0.0,0.0,0.0,0.0,3.0,999.5,994.9398,100.0,5.0,100.0,100.0,24140.0,11.183201,22.530937,25.23637,,183.69131,192.926,196.06006,,31.319998,10.815,10.865,
6,2025-10-22 06:00:00+00:00,10.6085005,89.0,8.870207,8.737104,0.0,0.0,0.0,0.0,0.0,0.0,3.0,999.3,994.7407,100.0,5.0,100.0,100.0,24140.0,10.805999,20.721119,23.63683,,178.0909,187.98924,191.65926,,28.44,10.865,10.964999,
7,2025-10-22 07:00:00+00:00,11.3085,86.0,9.050901,9.275688,11.0,0.0,0.0,0.0,0.0,0.0,3.0,999.5,994.95105,100.0,74.0,100.0,100.0,24140.0,12.245294,21.707731,24.111876,,178.31535,185.7105,187.88304,,32.399998,10.964999,10.865,
8,2025-10-22 08:00:00+00:00,11.4585,86.0,9.198249,9.518091,26.0,0.0,0.0,0.0,0.0,0.0,3.0,999.8,995.2519,100.0,100.0,100.0,100.0,24140.0,11.885453,21.707731,23.335014,,178.26433,185.7105,187.23683,,32.760002,11.415,11.264999,
9,2025-10-22 09:00:00+00:00,11.8585005,89.0,10.103091,10.203995,35.0,0.0,0.0,0.0,0.0,0.0,3.0,1000.2,995.6566,100.0,100.0,89.0,66.0,24140.0,11.659777,21.322214,23.27708,,188.88058,191.68935,191.84206,,33.48,11.665,11.514999,
10,2025-10-22 10:00:00+00:00,13.158501,83.0,10.334825,11.506445,29.0,0.0,0.0,0.0,0.0,0.0,3.0,1000.5,995.9758,100.0,100.0,5.0,72.0,24140.0,12.10157,19.829433,21.504248,,202.751,195.80258,196.88687,,28.08,11.764999,11.615,
11,2025-10-22 11:00:00+00:00,15.658501,70.0,10.203464,13.99942,17.0,0.0,0.0,0.0,0.0,0.0,3.0,1000.4,995.9154,89.0,57.0,5.0,62.0,24140.0,11.885453,19.878391,21.018446,,215.13428,215.41714,216.46933,,21.599998,13.714999,13.514999,
12,2025-10-22 12:00:00+00:00,16.0585,69.0,10.370868,14.696283,13.0,0.0,0.0,0.0,0.0,0.0,3.0,999.8,995.3242,100.0,100.0,10.0,84.0,24140.0,10.182337,16.80857,17.67566,,224.9999,223.26433,223.31535,,18.72,14.964999,14.764999,
13,2025-10-22 13:00:00+00:00,15.2585,73.0,10.448069,14.049103,27.0,0.0,0.0,0.0,0.0,0.0,3.0,1000.0,995.5109,100.0,100.0,5.0,61.0,24140.0,9.290511,16.1198,17.273888,,234.46223,240.57263,240.70874,,18.72,14.665,14.514999,
14,2025-10-22 14:00:00+00:00,15.658501,70.0,10.203464,14.35866,48.0,0.0,0.0,0.0,0.0,0.0,3.0,1000.0,995.51715,86.0,51.0,0.0,66.0,24140.0,9.422101,14.512064,15.314184,,226.54811,240.2552,239.74365,,16.919998,14.315,14.165,
15,2025-10-22 15:00:00+00:00,14.6085005,77.0,10.620814,13.723938,61.0,0.3,0.0,0.3,0.0,0.0,51.0,1000.0,995.5006,100.0,100.0,5.0,54.0,18660.0,7.4128532,10.948973,11.963187,,209.0545,223.66785,227.4896,,10.440001,14.165,14.014999,
16,2025-10-22 16:00:00+00:00,13.9585,80.0,10.563319,13.240984,57.0,0.3,0.0,0.3,0.0,0.0,51.0,1000.3,995.78925,100.0,100.0,33.0,100.0,20120.0,6.151683,11.200571,12.23657,,200.55612,224.9999,228.65231,,8.28,14.115,14.115,
17,2025-10-22 17:00:00+00:00,13.5585,80.0,10.173812,12.656502,45.0,0.0,0.0,0.0,0.0,0.0,3.0,1000.4,995.88257,100.0,34.0,100.0,100.0,24140.0,6.638072,10.464797,11.349276,,192.5288,206.56499,209.0545,,7.92,14.065,14.115,
18,2025-10-22 18:00:00+00:00,13.3085,81.0,10.11608,12.4129715,32.0,0.0,0.0,0.0,0.0,0.0,3.0,1000.5,995.978,100.0,6.0,101.0,100.0,24140.0,6.4799995,10.594036,10.961979,,180.0,189.78233,193.57045,,8.28,13.764999,13.815,
19,2025-10-22 19:00:00+00:00,13.0085,83.0,10.18811,12.127935,21.0,0.0,0.0,0.0,0.0,0.0,3.0,1000.6,996.0729,100.0,5.0,100.0,100.0,24140.0,6.519877,13.138765,13.909678,,186.3401,189.46225,192.20045,,10.08,13.565,13.665,
20,2025-10-22 20:00:00+00:00,12.5585,84.0,9.926747,11.603132,11.0,0.0,0.0,0.0,0.0,0.0,3.0,1000.7,996.1652,100.0,5.0,100.0,100.0,24140.0,6.519877,13.441071,14.559411,,173.6599,187.69595,190.17545,,11.159999,13.065,13.165,
21,2025-10-22 21:00:00+00:00,12.0085,86.0,9.738513,10.771004,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1000.2,995.6589,95.0,6.0,84.0,48.0,24140.0,8.089993,15.84409,16.906525,,159.14546,178.69807,181.24533,,15.119999,12.514999,12.665,
22,2025-10-22 22:00:00+00:00,11.8085,86.0,9.542056,10.497579,0.0,0.0,0.0,0.0,0.0,0.0,3.0,999.8,995.25745,100.0,5.0,100.0,100.0,24140.0,8.217153,16.23596,17.637426,,151.1893,176.186,180.0,,14.759999,12.214999,12.415,
23,2025-10-22 23:00:00+00:00,11.8085,87.0,9.714355,10.680979,0.0,0.0,0.0,0.0,0.0,0.0,3.0,999.2,994.6602,100.0,5.0,100.0,100.0,24140.0,7.289444,16.343367,18.405357,,159.77505,172.40544,176.56644,,16.919998,12.014999,12.115,
24,2025-10-23 00:00:00+00:00,11.8585005,90.0,10.27035,10.744005,0.0,0.0,0.0,0.0,0.0,0.0,3.0,998.4,993.8648,100.0,66.0,100.0,5.0,24140.0,8.287822,16.418526,18.375994,,145.6196,164.74483,168.46541,,16.919998,12.014999,12.115,
25,2025-10-23 01:00:00+00:00,11.2085,93.0,10.1180525,9.830553,2.0,0.0,0.0,0.0,0.0,0.0,3.0,997.6,993.05817,87.0,40.0,5.0,71.0,24140.0,9.793059,19.930477,22.561327,,143.97253,159.92839,163.92636,,22.319998,11.665,11.764999,
26,2025-10-23 02:00:00+00:00,11.8085,90.0,10.220972,10.179073,5.0,0.0,0.0,0.0,0.0,0.0,3.0,996.2,991.6738,100.0,100.0,88.0,97.0,24140.0,11.720751,22.039528,24.867188,,132.5104,141.63248,145.84026,,28.44,11.565,11.714999,
27,2025-10-23 03:00:00+00:00,12.0585,89.0,10.300344,10.416158,6.0,0.0,0.0,0.0,0.0,0.0,3.0,995.4,990.8815,100.0,100.0,5.0,50.0,24140.0,11.966954,22.322903,24.989056,,136.2188,142.206,143.97253,,32.399998,11.815,11.764999,
28,2025-10-23 04:00:00+00:00,12.158501,89.0,10.3989725,10.171122,4.0,0.0,0.0,0.0,0.0,0.0,3.0,994.3,989.7881,100.0,100.0,10.0,100.0,24140.0,14.529915,24.703974,26.793365,,131.98714,136.77144,137.77924,,34.92,11.815,11.714999,
29,2025-10-23 05:00:00+00:00,12.1085005,90.0,10.517243,9.7460165,1.0,0.0,0.0,0.0,0.0,0.0,3.0,993.1,988.5926,100.0,100.0,100.0,100.0,24140.0,17.339897,29.09103,31.568323,,131.63345,139.01427,140.19447,,40.32,11.714999,11.565,
30,2025-10-23 06:00:00+00:00,11.658501,94.0,10.724884,9.396513,0.0,0.0,0.0,0.0,0.0,0.0,3.0,992.3,987.7894,100.0,10.0,9.0,100.0,24140.0,17.072504,29.131096,31.334364,,137.56381,140.01317,140.7106,,39.6,11.365,11.264999,
31,2025-10-23 07:00:00+00:00,12.0585,91.0,10.633755,9.769415,3.0,0.0,0.0,0.0,0.0,0.0,3.0,991.2,986.70056,100.0,63.0,5.0,100.0,24140.0,17.072504,29.522196,31.527668,,137.56381,142.43134,143.53067,,41.760002,11.415,11.264999,
32,2025-10-23 08:00:00+00:00,12.658501,89.0,10.892094,10.415675,8.0,0.0,0.0,0.0,0.0,0.0,3.0,990.4,985.9136,100.0,100.0,10.0,100.0,24140.0,17.283749,29.69727,31.766582,,144.3235,149.39368,150.173,,42.839996,12.065,11.915,
33,2025-10-23 09:00:00+00:00,14.5585,81.0,11.335067,12.23284,19.0,0.0,0.0,0.0,0.0,0.0,3.0,989.3,984.8481,98.0,60.0,35.0,92.0,24140.0,18.775303,29.949316,31.566189,,147.52882,154.35904,155.22488,,41.399998,13.615,13.415,
34,2025-10-23 10:00:00+00:00,14.2085,84.0,11.542834,11.918886,42.0,0.2,0.2,0.0,0.0,0.0,51.0,988.6,984.1457,100.0,100.0,100.0,100.0,24140.0,18.971008,32.042023,34.50867,,146.61147,152.57135,153.43501,,46.079998,14.014999,13.865,
35,2025-10-23 11:00:00+00:00,16.1585,76.0,11.924533,13.833473,71.0,0.1,0.0,0.1,0.0,0.0,51.0,987.8,983.3796,100.0,100.0,100.0,70.0,24140.0,20.037485,32.839024,34.878384,,162.21602,167.33495,168.45334,,45.36,15.514999,15.365,
36,2025-10-23 12:00:00+00:00,15.0585,88.0,13.0857315,12.830164,90.0,1.5,1.4,0.1,0.0,0.0,80.0,987.7,983.263,100.0,100.0,100.0,100.0,11460.0,22.007162,35.98559,38.70764,,195.17297,199.88525,199.9832,,46.44,15.014999,14.865,
37,2025-10-23 13:00:00+00:00,14.658501,89.0,12.86445,12.290113,90.0,0.7,0.59999996,0.1,0.0,0.0,53.0,987.4,982.9583,100.0,100.0,100.0,100.0,18600.0,22.45315,37.08699,39.699516,,167.96942,181.11238,181.59111,,46.079998,13.865,13.714999,
38,2025-10-23 14:00:00+00:00,15.0585,84.0,12.375283,12.756315,80.0,0.0,0.0,0.0,0.0,0.0,3.0,986.8,982.367,100.0,100.0,100.0,100.0,24140.0,20.883104,34.589985,36.77402,,179.01227,177.6141,177.70944,,42.839996,14.464999,14.315,
39,2025-10-23 15:00:00+00:00,14.8085,84.0,12.130453,12.692097,68.0,0.0,0.0,0.0,0.0,0.0,3.0,986.8,982.36304,100.0,5.0,100.0,100.0,24140.0,19.06301,32.569557,34.845463,,190.88548,193.42184,194.03627,,44.639996,14.565,14.415,
40,2025-10-23 16:00:00+00:00,15.158501,74.0,10.55586,12.915546,55.0,0.1,0.0,0.1,0.0,0.0,51.0,986.8,982.36865,100.0,79.0,53.0,100.0,24140.0,16.595179,30.10685,32.20977,,204.34108,206.25859,207.1496,,37.44,15.165,15.065,
41,2025-10-23 17:00:00+00:00,14.0585,74.0,9.494647,11.155968,40.0,0.0,0.0,0.0,0.0,0.0,3.0,987.8,983.3471,100.0,13.0,100.0,100.0,24140.0,19.0392,33.425762,35.416187,,195.35019,202.14523,202.57417,,39.239998,13.915,13.764999,
42,2025-10-23 18:00:00+00:00,13.8085,70.0,8.430392,10.03278,26.0,0.0,0.0,0.0,0.0,0.0,3.0,988.0,983.54224,100.0,5.0,100.0,100.0,24140.0,23.068108,38.96158,41.575058,,202.9638,206.32823,206.79144,,45.719997,13.615,13.514999,
